Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Ecology	RAD-Seq Reference-based data analysis	https://training.galaxyproject.org//topics/ecology/tutorials/ref-based-rad-seq/tutorial.html		Sequence alignment, Genome indexing, Sequence composition calculation, Statistical calculation, Read mapping, Validation, Data handling, Generation, Sequencing quality control	2017-02-14	2025-11-06	15	True	False	False	True	Convert characters1, Grep1, bwa_wrapper, multiqc, stacks_procrad, Filter1, Summary_Statistics1, Count1, stacks_populations, cat1, fastqc, stacks_refmap, regex_replace, Cut1, bwa, tp_replace_in_line, tp_sort_header_tool, addValue			0		3258	5035	1.8166666666666667	0
Ecology	Creating FAIR Quality assessment reports and draft of Data Papers from EML metadata with MetaShRIMPS	https://training.galaxyproject.org//topics/ecology/tutorials/Metashrimps_tutorial/tutorial.html			2024-01-22	2025-06-03	6	True	False	False	False	interactive_tool_metashrimps	UseGalaxy.eu		0		123	133	1.2833333333333334	0
Ecology	Taxonomic Analysis of eDNA	https://training.galaxyproject.org//topics/ecology/tutorials/eDNA-taxonomic-analysis/tutorial.html		Sequence contamination filtering, Sequencing quality control	2025-06-02	2025-06-03	2	True	False	False	True	fastp, Count1, cshl_fastq_to_fasta, ncbi_blastn_wrapper	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main), UseGalaxy.org.au	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.no	0		548	690	0.8333333333333334	0
Ecology	Cleaning GBIF data for the use in Ecology	https://training.galaxyproject.org//topics/ecology/tutorials/gbif_cleaning/tutorial.html			2022-10-28	2025-06-03	6	True	False	False	True	spocc_occ, Filter1, Summary_Statistics1, Count1, gdal_ogr2ogr	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no		0		693	851	0.85	0
Ecology	Marine Omics identifying biosynthetic gene clusters	https://training.galaxyproject.org//topics/ecology/tutorials/marine_omics_bgc/tutorial.html		Protein feature detection, Sequence motif recognition, Genome annotation	2024-08-19	2025-06-03	3	True	False	False	True	interproscan, SanntiS_marine, sanntis_marine, prodigal, regex1			0		229	264	1.85	0
Ecology	Biodiversity data exploration	https://training.galaxyproject.org//topics/ecology/tutorials/biodiversity-data-exploration/tutorial.html			2022-03-01	2025-06-03	15	True	False	True	True	ecology_presence_abs_abund, regexColumn1, ecology_link_between_var, ecology_stat_presence_abs, tool_anonymization, ecology_homogeneity_normality, ecology_beta_diversity, Remove beginning1, tp_cut_tool	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.fr	0		1679	2335	2.6333333333333333	0
Ecology	Audio data annotation with NEAL (Nature + Energy Audio labeler)	https://training.galaxyproject.org//topics/ecology/tutorials/NEAL_tutorial/tutorial.html			2025-10-14	2025-11-06	3	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr	0		46	54	0.15	0
Ecology	Cleaning GBIF data using OpenRefine	https://training.galaxyproject.org//topics/ecology/tutorials/openrefine_gbif/tutorial.html			2025-01-21	2025-06-03	5	True	False	False	False	regex1, interactive_tool_openrefine	UseGalaxy.eu, UseGalaxy.fr		0		202	244	1.1666666666666667	0
Ecology	QGIS Web Feature Services	https://training.galaxyproject.org//topics/ecology/tutorials/QGIS_Web_Feature_Services/tutorial.html			2023-10-11	2025-06-03	6	True	False	False	False	interactive_tool_qgis	UseGalaxy.eu		0		317	364	1.55	0
Genome Annotation	Comparison of two annotation tools - Helixer and Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/comparison-braker-helixer-annotation/tutorial.html	Sequence assembly, Genomics	Gene prediction, Sequence assembly validation, Genome visualisation, Sequence alignment, Sequence annotation, Genome annotation, Differential protein expression profiling	2025-06-20	2025-06-25	2	True	False	False	True	omark, busco, helixer, rna_star, braker3, gffread, jbrowse			0		486	573	1.4833333333333334	0
Genome Annotation	Masking repeats with RepeatMasker	https://training.galaxyproject.org//topics/genome-annotation/tutorials/repeatmasker/tutorial.html	Sequence composition, complexity and repeats, Genomics	Mapping, Repeat sequence detection, Editing, RNA-Seq analysis, Genome annotation	2021-11-29	2025-06-03	22	True	False	True	True	bedtools_maskfastabed, repeatmodeler, red, repeatmasker_wrapper	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main), UseGalaxy.org.au		0		10520	13353	1.35	0
Genome Annotation	Refining Genome Annotations with Apollo (prokaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome visualisation	2021-06-04	2025-05-15	22	True	True	True	True	create_account, list_organism, iframe, create_or_update, jbrowse	UseGalaxy.be	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no	0		3197180	7593224	4.95	0
Genome Annotation	Genome annotation with Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/braker3/tutorial.html	Sequence assembly, Genomics, Biodiversity, Zoology, Plant biology	Gene prediction, Sequence assembly validation, Genome visualisation, Sequence alignment, Sequence annotation, Genome annotation, Differential protein expression profiling	2025-03-17	2025-06-20	4	True	False	False	True	omark, fasta-stats, busco, rna_star, braker3, gffread, jbrowse			0		1646	2010	1.7833333333333334	0
Genome Annotation	Genome annotation with Helixer	https://training.galaxyproject.org//topics/genome-annotation/tutorials/helixer/tutorial.html	Biodiversity, Genomics, Zoology, Plant biology	Gene prediction, Sequence assembly validation, Genome visualisation, Sequence annotation, Genome annotation, Differential protein expression profiling	2024-08-21	2025-06-04	8	True	False	False	True	omark, busco, helixer, jcvi_gff_stats, gffread, jbrowse			0		1397	1658	1.5666666666666667	0
Genome Annotation	Genome annotation with Funannotate	https://training.galaxyproject.org//topics/genome-annotation/tutorials/funannotate/tutorial.html	Gene and protein families	Query and retrieval, Protein feature detection, Homology-based gene prediction, Sequence motif recognition, Genome visualisation, Sequence alignment, Sequence annotation, Information extraction, Formatting, Fold recognition, Sequence assembly validation, Genome annotation	2021-11-29	2025-06-10	26	True	False	True	True	interproscan, eggnog_mapper, busco, aegean_parseval, funannotate_predict, rna_star, funannotate_annotate, picard_MergeSamFiles, jbrowse, funannotate_compare	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.org.au	0		11140	15687	1.9333333333333333	0
Genome Annotation	Comparative gene analysis in unannotated genomes	https://training.galaxyproject.org//topics/genome-annotation/tutorials/gene-centric/tutorial.html	Genomics, Gene and protein families, Sequence analysis, Phylogeny, Comparative genomics	Phylogenetic tree generation, Transcriptome assembly, Multiple sequence alignment, De-novo assembly, Coding region prediction, Database search, Sequence alignment analysis	2022-09-08	2025-06-03	10	True	False	False	True	Add_a_column1, bg_diamond, tab2fasta, Filter1, bg_diamond_makedb, bg_diamond_view, gops_intersect_1, orfipy, regexColumn1, tp_split_on_column, rapidnj, Cut1, collapse_dataset, rbc_mafft, join1, cat1	UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz	0		1930	2685	3.0	0
Genome Annotation	Functional annotation of protein sequences	https://training.galaxyproject.org//topics/genome-annotation/tutorials/functional/tutorial.html	Function analysis, Protein sites, features and motifs	Query and retrieval, Protein feature detection, Homology-based gene prediction, Sequence motif recognition, Information extraction, Sequence alignment analysis, Fold recognition, Genome annotation	2022-07-20	2025-06-03	12	True	False	False	True	interproscan, ncbi_blastp_wrapper, bg_diamond, eggnog_mapper	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main), UseGalaxy.org.au	UseGalaxy.no	0		4589	6097	1.6333333333333333	0
Genome Annotation	Refining Genome Annotations with Apollo (eukaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo-euk/tutorial.html	Genomics	Genome visualisation	2022-08-22	2025-06-03	16	True	False	False	False	create_or_update, jbrowse, iframe	UseGalaxy.be, UseGalaxy.no	UseGalaxy.cz, UseGalaxy.eu	0		1524	2295	2.433333333333333	0
