Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Related Workflows	Related Tutorials	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on CIRM-CFBP	Number of tools on Coloc-stats	Number of tools on GalaxyTrakr	Number of tools on Galaxy@AuBi	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on GASLINI	Number of tools on Galaxy@Pasteur	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Lebanese University Galaxy	Number of tools on MISSISSIPPI	Number of tools on Palfinder	Number of tools on Oqtans	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.be	Number of tools on Viral Variant Visualizer (VVV)	Number of tools on UseGalaxy.no	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	To keep	Deprecated
maplot	maplot	pdf	Generate MA plots for visualizing data distributions using Plotly or Matplotlib.	2025-04-17	https://github.com/galaxyproject/tools-iuc	@TOOL_VERSION@+galaxy@VERSION_SUFFIX@	plotly		To update	Visualization, Statistics					iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/maplot	https://github.com/galaxyproject/tools-iuc/tree/master/tools/maplot							0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
misc	stratified_block_randomization, target_screen, use_theoretical_mz_annotations	tabular		2024-02-16	https://github.com/RECETOX/galaxytools	1.0.0	numpy		To update	Metabolomics					recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/misc	https://github.com/RECETOX/galaxytools/tree/master/tools/misc					https://workflowhub.eu/workflows/888?version=2		0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	151	151	0	0	0	0	1	1	90	90	0	0	0	0	241	241	5	5	True	False
msmetaenhancer	msmetaenhancer	txt		2021-11-22	https://github.com/RECETOX/MSMetaEnhancer	0.5.1	msmetaenhancer	0.5.1	Up-to-date	Metabolomics	Annotation, Standardisation and normalisation	Annotation, Standardisation and normalisation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/msmetaenhancer	https://github.com/RECETOX/galaxytools/tree/master/tools/msmetaenhancer	msmetaenhancer	MSMetaEnhancer	Tool for mass spectra metadata annotation.		https://workflowhub.eu/workflows/888?version=2		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	12	241	241	0	0	0	0	2	2	112	112	3	3	13	13	366	366	17	17	True	False
mzspeclib	mzspeclib_convert, mzspeclib_describe, mzspeclib_validate	txt	mzspeclib is a library and set of tools for handling, converting, and validating mass spectral libraries in a standardized format. This suite provides Galaxy wrappers for mzspeclib's core functionalities, including conversion and validation of spectral libraries.	2025-06-12	https://github.com/HUPO-PSI/mzspeclib-py	1.0.7	mzspeclib	1.0.7	Up-to-date	Proteomics, Metabolomics	Conversion, Format validation	Conversion, Format validation	Proteomics, Metabolomics	Proteomics, Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/main/tools/mzspeclib	https://github.com/RECETOX/galaxytools/tree/master/tools/mzspeclib	mzspeclib	mzspeclib	A python reference implementation of the mzSpecLib spectral library format.				0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
mztabm	mztabm_validate	txt	Tools for handling mzTab-M files using various packages.	2025-07-01	https://github.com/lifs-tools/jmzTab-m	@TOOL_VERSION@+galaxy@VERSION_SUFFIX@	jmztab-m	1.0.6	To update	Metabolomics			Ontology and terminology, Metabolomics	Ontology and terminology, Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/main/tools/mztabm	https://github.com/RECETOX/galaxytools/tree/master/tools/mztabm	jmztab-m	jmztab-m	Reference implementation for mzTab 2.0 for metabolomics				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False
ramclustr	ramclustr, ramclustr_define_experiment	tabular, csv		2020-11-05	https://rdrr.io/cran/RAMClustR/	1.3.1	r-ramclustr	1.3.1	Up-to-date	Metabolomics	Imputation, Standardisation and normalisation, Clustering, Correlation	Imputation, Standardisation and normalisation, Clustering, Correlation	Metabolomics	Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/ramclustr	https://github.com/RECETOX/galaxytools/tree/master/tools/ramclustr	ramclustr	RAMClustR	A feature clustering algorithm for non-targeted mass spectrometric metabolomics data.		https://usegalaxy.cz/published/workflow?id=bc8f2b3ecdad343e, https://usegalaxy.eu/published/workflow?id=3086366b744e8da9, https://usegalaxy.fr/published/workflow?id=1407c1703f360f07, https://workflowhub.eu/workflows/1582?version=1	metabolomics/gc_ms_with_xcms	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	36	36	103	103	15	15	37	37	3	3	707	707	42	42	304	304	1151	1151	96	96	True	False
recetox-msfinder	recetox_msfinder			2022-11-28	https://github.com/RECETOX/recetox-msfinder	v3.5.2			To update	Metabolomics	Annotation	Annotation	Metabolomics	Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/recetox_msfinder	https://github.com/RECETOX/galaxytools/tree/master/tools/recetox_msfinder	recetox-msfinder	recetox-msfinder	This is a modified copy of MS-FINDER with source code modifications to make the tool accessible in Galaxy.MS-FINDER - software for structure elucidation of unknown spectra with hydrogen rearrangement (HR) rulesThe program supports molecular formula prediction, metabolie class prediction, and structure elucidation for EI-MS and MS/MS spectra, and the assembly is licensed under the CC-BY 4.0.		https://workflowhub.eu/workflows/888?version=2		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	77	77	0	0	0	0	1	1	132	132	7	7	19	19	228	228	17	17	True	False
riassigner	riassigner, riassigner_from_comment	tsv		2021-08-19	https://github.com/RECETOX/RIAssigner	0.6.1	riassigner	0.6.1	Up-to-date	Metabolomics	Standardisation and normalisation	Standardisation and normalisation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation	Metabolomics, Compound libraries and screening, Data submission, annotation and curation	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/riassigner	https://github.com/RECETOX/galaxytools/tree/master/tools/riassigner	riassigner	RIAssigner	RIAssigner is a python tool for retention index (RI) computation for GC-MS data.		https://usegalaxy.cz/published/workflow?id=bc8f2b3ecdad343e, https://usegalaxy.eu/published/workflow?id=3086366b744e8da9, https://usegalaxy.fr/published/workflow?id=1407c1703f360f07, https://workflowhub.eu/workflows/1582?version=1	metabolomics/gc_ms_with_xcms	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	29	29	75	75	5	5	16	16	1	1	178	178	27	27	161	161	430	430	62	62	True	False
sklearn	sklearn_mlxtend_association_rules, sklearn_clf_metrics, sklearn_discriminant_classifier, sklearn_ensemble, sklearn_estimator_attributes, sklearn_feature_selection, sklearn_fitted_model_eval, sklearn_generalized_linear, keras_batch_models, keras_model_builder, keras_model_config, keras_train_and_eval, sklearn_label_encoder, sklearn_lightgbm, ml_visualization_ex, model_prediction, sklearn_model_validation, sklearn_nn_classifier, sklearn_numeric_clustering, sklearn_pairwise_metrics, sklearn_pca, sklearn_build_pipeline, sklearn_data_preprocess, sklearn_regression_metrics, sklearn_sample_generator, sklearn_searchcv, sklearn_model_fit, scipy_sparse, stacking_ensemble_models, sklearn_svm_classifier, sklearn_to_categorical, sklearn_train_test_eval, sklearn_train_test_split	tabular, txt, h5mlm, json, html, h5	Machine Learning tool suite from Scikit-learn	2016-05-02	http://scikit-learn.org	1.0.11.2			To update	Machine Learning, Statistics					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/sklearn	https://github.com/bgruening/galaxytools/tree/master/tools/sklearn					https://usegalaxy.eu/published/workflow?id=011596d04aa140c1, https://usegalaxy.eu/published/workflow?id=0bfb81f2a0202b25, https://usegalaxy.eu/published/workflow?id=130bdb021a3083fb, https://usegalaxy.eu/published/workflow?id=1377a23db45877ae, https://usegalaxy.eu/published/workflow?id=138d4893a1d6228e, https://usegalaxy.eu/published/workflow?id=1526d3918b201c72, https://usegalaxy.eu/published/workflow?id=16a0725cb2063ac1, https://usegalaxy.eu/published/workflow?id=179488ec6d44852c, https://usegalaxy.eu/published/workflow?id=17e99647745eb150, https://usegalaxy.eu/published/workflow?id=19bb27eea9bcdb6f, https://usegalaxy.eu/published/workflow?id=1a38ea9798597219, https://usegalaxy.eu/published/workflow?id=1b8399d5b9fc89a6, https://usegalaxy.eu/published/workflow?id=1d55d5d20c581b16, https://usegalaxy.eu/published/workflow?id=2484b03b39b8ab98, https://usegalaxy.eu/published/workflow?id=262268f6ab4d1f6c, https://usegalaxy.eu/published/workflow?id=2ab7ae9ca0e51392, https://usegalaxy.eu/published/workflow?id=2ac5db57491b97b1, https://usegalaxy.eu/published/workflow?id=33114cbae59a89a1, https://usegalaxy.eu/published/workflow?id=34861c3c63048d6b, https://usegalaxy.eu/published/workflow?id=3aeeb7a017143bb4, https://usegalaxy.eu/published/workflow?id=3ffe3b2007167657, https://usegalaxy.eu/published/workflow?id=4384aa586c0e1300, https://usegalaxy.eu/published/workflow?id=443c014a103626bd, https://usegalaxy.eu/published/workflow?id=463a22701cf2410d, https://usegalaxy.eu/published/workflow?id=4b383d13ff512687, https://usegalaxy.eu/published/workflow?id=518469bc5efb8728, https://usegalaxy.eu/published/workflow?id=5225633f2e94fc7e, https://usegalaxy.eu/published/workflow?id=540d4c57cfe2a40f, https://usegalaxy.eu/published/workflow?id=57564e3962edb0d5, https://usegalaxy.eu/published/workflow?id=5900578d64e01001, https://usegalaxy.eu/published/workflow?id=59f5f3c947721d61, https://usegalaxy.eu/published/workflow?id=5e1f033efa5f7d7d, https://usegalaxy.eu/published/workflow?id=6081f684d8d72e91, https://usegalaxy.eu/published/workflow?id=6842576edd59b01a, https://usegalaxy.eu/published/workflow?id=6b7ad97c010ca356, https://usegalaxy.eu/published/workflow?id=6c29cb7393b64a98, https://usegalaxy.eu/published/workflow?id=6ce19741d208f0db, https://usegalaxy.eu/published/workflow?id=6df97546214afbe6, https://usegalaxy.eu/published/workflow?id=6f66e4b653082fa5, https://usegalaxy.eu/published/workflow?id=71a7113386b2cdc1, https://usegalaxy.eu/published/workflow?id=732fa536cdc70c96, https://usegalaxy.eu/published/workflow?id=77fa6e5a8fa3f911, https://usegalaxy.eu/published/workflow?id=788d5aff5b560438, https://usegalaxy.eu/published/workflow?id=7c10b78c4367ed61, https://usegalaxy.eu/published/workflow?id=7d22e5259212aaf8, https://usegalaxy.eu/published/workflow?id=7d7bfc7420479470, https://usegalaxy.eu/published/workflow?id=7e90fa21a018c0bb, https://usegalaxy.eu/published/workflow?id=8192e947a14d9cb5, https://usegalaxy.eu/published/workflow?id=81f24fe866a8a12c, https://usegalaxy.eu/published/workflow?id=81f62d8f35462c9a, https://usegalaxy.eu/published/workflow?id=83002fdc85a7911e, https://usegalaxy.eu/published/workflow?id=83fe480cdbb70099, https://usegalaxy.eu/published/workflow?id=848389c45cebe34f, https://usegalaxy.eu/published/workflow?id=87546e050916dd0e, https://usegalaxy.eu/published/workflow?id=8b5e642274f91390, https://usegalaxy.eu/published/workflow?id=8fc7eb7733071aba, https://usegalaxy.eu/published/workflow?id=925c89b318763574, https://usegalaxy.eu/published/workflow?id=9791e8aae12d6e63, https://usegalaxy.eu/published/workflow?id=9e497c5c9e64d9b3, https://usegalaxy.eu/published/workflow?id=a08f980909ddcff2, https://usegalaxy.eu/published/workflow?id=a3c966d53c4ba7de, https://usegalaxy.eu/published/workflow?id=a669986e1a5cee31, https://usegalaxy.eu/published/workflow?id=a824fb7e65a1a939, https://usegalaxy.eu/published/workflow?id=ab28a6da3e34094a, https://usegalaxy.eu/published/workflow?id=abd283a751a19aa5, https://usegalaxy.eu/published/workflow?id=ae380023cd06f640, https://usegalaxy.eu/published/workflow?id=b47e8dde39c6d8b7, https://usegalaxy.eu/published/workflow?id=b4bf9e3309d53af3, https://usegalaxy.eu/published/workflow?id=bb64be0ff8a5e92e, https://usegalaxy.eu/published/workflow?id=bc720034237e5b2e, https://usegalaxy.eu/published/workflow?id=c15303fcc0b53df6, https://usegalaxy.eu/published/workflow?id=c68cd416d24af9f2, https://usegalaxy.eu/published/workflow?id=c76b69a5560142de, https://usegalaxy.eu/published/workflow?id=cb3d961914ede12e, https://usegalaxy.eu/published/workflow?id=ccda8222900499a7, https://usegalaxy.eu/published/workflow?id=cda516957bcfcd9c, https://usegalaxy.eu/published/workflow?id=d63c382e98be752b, https://usegalaxy.eu/published/workflow?id=d6eb0562d0036940, https://usegalaxy.eu/published/workflow?id=d940ab0583c2b412, https://usegalaxy.eu/published/workflow?id=db344f239d0901bd, https://usegalaxy.eu/published/workflow?id=df3732dcb6c1bcb7, https://usegalaxy.eu/published/workflow?id=e2560dd1b4aca511, https://usegalaxy.eu/published/workflow?id=e5b58ab054d7d11b, https://usegalaxy.eu/published/workflow?id=e6432be54d625d1c, https://usegalaxy.eu/published/workflow?id=e64680b4aa5541d6, https://usegalaxy.eu/published/workflow?id=e795e7f59b4de5e6, https://usegalaxy.eu/published/workflow?id=eefefcfe80e6eee0, https://usegalaxy.eu/published/workflow?id=f4a55ef0d4c2cd97, https://usegalaxy.eu/published/workflow?id=f698bed6a0867f5f, https://usegalaxy.eu/published/workflow?id=fa83e26e05418370, https://usegalaxy.eu/published/workflow?id=fa9d6ca3fe1266c4, https://usegalaxy.eu/published/workflow?id=fdbf1a1a584a429c, https://usegalaxy.org.au/published/workflow?id=350433eefb835f19, https://usegalaxy.org.au/published/workflow?id=517f947adc81a16a, https://usegalaxy.org.au/published/workflow?id=65a8ac91d6ded9a2, https://usegalaxy.org.au/published/workflow?id=697945d5f9edbf39, https://usegalaxy.org.au/published/workflow?id=92b5a29a956a3afc, https://usegalaxy.org.au/published/workflow?id=b0ee0c0a6a37f5ef, https://usegalaxy.org.au/published/workflow?id=bfd7ed2abc95b53d, https://usegalaxy.org.au/published/workflow?id=cebab4f1a2405a89, https://usegalaxy.org.au/published/workflow?id=d858cfd9303bb99a, https://usegalaxy.org/published/workflow?id=0cf9868ebc9ec1dc, https://usegalaxy.org/published/workflow?id=1c579fc1fe256993, https://usegalaxy.org/published/workflow?id=728ce1ce56c4d3da, https://usegalaxy.org/published/workflow?id=8bab8e2b5d47f2f0, https://usegalaxy.org/published/workflow?id=f38671c2dbeb9391, https://usegalaxy.org/published/workflow?id=fcfcc7ca9ab07bce, https://workflowhub.eu/workflows/1583?version=1, https://workflowhub.eu/workflows/1588?version=1, https://workflowhub.eu/workflows/1592?version=1, https://workflowhub.eu/workflows/1596?version=1, https://workflowhub.eu/workflows/1609?version=1, https://workflowhub.eu/workflows/1618?version=1, https://workflowhub.eu/workflows/1633?version=2, https://workflowhub.eu/workflows/1637?version=1, https://workflowhub.eu/workflows/1643?version=1, https://workflowhub.eu/workflows/1720?version=1, https://workflowhub.eu/workflows/1721?version=1, https://workflowhub.eu/workflows/1722?version=1, https://workflowhub.eu/workflows/1724?version=1, https://workflowhub.eu/workflows/659?version=1	statistics/CNN, statistics/FNN, statistics/RNN, statistics/age-prediction-with-ml, statistics/classification_machinelearning, statistics/classification_regression, statistics/clustering_machinelearning, statistics/fruit_360, statistics/intro_deep_learning, statistics/machinelearning, statistics/regression_machinelearning	30	14	31	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	30	0	27	281	374	30752	125704	345	370	16128	23522	38	41	21876	24161	5	5	40	40	173427	68796	790	669	True	False
tables	table_pandas_arithmetics, table_pandas_dropna, table_pandas_rename_column, table_pandas_rename_columns_regex, table_pandas_transform, table_scipy_interpolate		Tools to manipulate and analyze data tables.	2024-11-14	https://github.com/RECETOX/galaxytools	3.0.2+galaxy@VERSION_SUFFIX@	scipy		To update	Metabolomics, Statistics					recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/tables	https://github.com/RECETOX/galaxytools/tree/master/tools/tables					https://usegalaxy.eu/published/workflow?id=0ec71ca86af5cbb3, https://usegalaxy.eu/published/workflow?id=5dc5e056c5f4e0da, https://usegalaxy.eu/published/workflow?id=6b7ad97c010ca356, https://usegalaxy.eu/published/workflow?id=8ee6213aec38e4cc, https://usegalaxy.eu/published/workflow?id=8f5c84fb0d286050, https://workflowhub.eu/workflows/2024?version=4, https://workflowhub.eu/workflows/2036?version=1, https://workflowhub.eu/workflows/2038?version=1, https://workflowhub.eu/workflows/2068?version=2		1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	78	78	718	718	0	0	0	0	0	0	0	0	0	0	0	0	718	718	78	78	True	False
tracegroomer	tracegroomer	tabular	TraceGroomer is a solution for formatting and normalising Tracer metabolomics given file(s), to produce the .csv files which are ready for DIMet tool.	2024-03-28	https://github.com/cbib/TraceGroomer	0.1.4	tracegroomer	0.1.4	Up-to-date	Metabolomics					iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/tracegroomer	https://github.com/galaxyproject/tools-iuc/tree/master/tools/tracegroomer					https://usegalaxy.fr/published/workflow?id=879408d684923861		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	16	16	0	0	0	0	0	0	0	0	4	4	42	42	58	58	6	6	True	False
w4mconcatenate	W4Mconcatenate	tabular	[W4M][Utils] concatenate two Metadata tables	2024-07-10	http://workflow4metabolomics.org	1.0.0	r-base		To update	Metabolomics					workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/w4mconcatenate							0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	56	56	56	56	4	4	True	False
waveica	waveica		Removal of batch effects for large-scale untargeted metabolomics data based on wavelet analysis.	2021-02-10	https://github.com/RECETOX/WaveICA	0.2.0	r-recetox-waveica	0.2.1	To update	Metabolomics	Standardisation and normalisation	Standardisation and normalisation	Metabolomics	Metabolomics	recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/waveica	https://github.com/RECETOX/galaxytools/tree/master/tools/waveica	waveica	WaveICA	Removal of batch effects for large-scale untargeted metabolomics data based on wavelet transform.		https://usegalaxy.eu/published/workflow?id=3086366b744e8da9	metabolomics/gc_ms_with_xcms	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	9	58	58	6	6	8	8	2	2	538	538	4	4	13	13	617	617	21	21	True	False
xcms	abims_xcms_fillPeaks, abims_xcms_group, abims_xcms_refine, abims_xcms_retcor, abims_xcms_summary, abims_xcms_xcmsSet, msnbase_readmsdata, xcms_export_samplemetadata, xcms_merge, xcms_plot_chromatogram, xcms_plot_eic, xcms_plot_raw	rdata.xcms.fillpeaks, rdata.xcms.group, pdf, rdata.xcms.findchrompeaks, rdata.xcms.retcor, html, txt, tabular, rdata.msnbase.raw, png		2023-05-24	https://github.com/sneumann/xcms	4.4.0	bioconductor-xcms	4.8.0	To update	Metabolomics	Mass spectrum visualisation, Chromatographic alignment, Label-free quantification, Validation, Data filtering, Peak detection, Chromatogram visualisation	Mass spectrum visualisation, Chromatographic alignment, Label-free quantification, Validation, Peak detection, Chromatogram visualisation	Data visualisation, Metabolomics	Data visualisation, Metabolomics	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/xcms	XCMS	xcms	Framework for processing and visualization of chromatographically separated and single-spectra mass spectral data.  The packages enables imports from AIA/ANDI NetCDF, mzXML, mzData and mzML files and preprocesses data for high-throughput, untargeted analyte profiling.		https://usegalaxy.cz/published/workflow?id=1082e5b455f8f814, https://usegalaxy.cz/published/workflow?id=bc8f2b3ecdad343e, https://usegalaxy.cz/published/workflow?id=c9973ddfd6cefb3e, https://usegalaxy.eu/published/workflow?id=2179ba1c33f77f7e, https://usegalaxy.eu/published/workflow?id=5ede4dcba9bf9c66, https://usegalaxy.eu/published/workflow?id=6704b925935564aa, https://usegalaxy.eu/published/workflow?id=a3bbc1284efcd20c, https://usegalaxy.fr/published/workflow?id=06fa7dd6eea42350, https://usegalaxy.fr/published/workflow?id=1407c1703f360f07, https://usegalaxy.fr/published/workflow?id=15275ba7c23028ed, https://usegalaxy.fr/published/workflow?id=180744a2f8dca6eb, https://usegalaxy.fr/published/workflow?id=18b2f77f2915adc7, https://usegalaxy.fr/published/workflow?id=192ff9aa79217899, https://usegalaxy.fr/published/workflow?id=19e99a5c09c01bb7, https://usegalaxy.fr/published/workflow?id=1be1badc5e3bda9a, https://usegalaxy.fr/published/workflow?id=26a3e5741d66982a, https://usegalaxy.fr/published/workflow?id=26bdb32c017d798c, https://usegalaxy.fr/published/workflow?id=2c4541e71d66a380, https://usegalaxy.fr/published/workflow?id=2ee479308227a926, https://usegalaxy.fr/published/workflow?id=32f903738292a67f, https://usegalaxy.fr/published/workflow?id=3c41c4c5a6332c25, https://usegalaxy.fr/published/workflow?id=4384e12fe70235d6, https://usegalaxy.fr/published/workflow?id=49e59327f299e9f7, https://usegalaxy.fr/published/workflow?id=4aa393a1f192a495, https://usegalaxy.fr/published/workflow?id=57748aa2cecf0405, https://usegalaxy.fr/published/workflow?id=5964606a3836cbdf, https://usegalaxy.fr/published/workflow?id=5a4b64e471571fee, https://usegalaxy.fr/published/workflow?id=5bfbe77fd6b37c45, https://usegalaxy.fr/published/workflow?id=5ec8a143f82a8c90, https://usegalaxy.fr/published/workflow?id=688dd6ebf3e520f6, https://usegalaxy.fr/published/workflow?id=6895bf9cff915ba1, https://usegalaxy.fr/published/workflow?id=7a790b0acf8ba14d, https://usegalaxy.fr/published/workflow?id=7bce49f6c338905c, https://usegalaxy.fr/published/workflow?id=7cc77d6cdd8de027, https://usegalaxy.fr/published/workflow?id=98bb6a831a2b399d, https://usegalaxy.fr/published/workflow?id=9c1665eeeaacaa5c, https://usegalaxy.fr/published/workflow?id=b6311795ae10032b, https://usegalaxy.fr/published/workflow?id=bb69fa998b900cb8, https://usegalaxy.fr/published/workflow?id=bcd348178335a19b, https://usegalaxy.fr/published/workflow?id=cca13353d553319e, https://usegalaxy.fr/published/workflow?id=dc17a87057dec748, https://usegalaxy.fr/published/workflow?id=e3d00bdef9addd7c, https://usegalaxy.fr/published/workflow?id=e6a55d00f1364794, https://usegalaxy.fr/published/workflow?id=e6f26a543c3e044a, https://usegalaxy.fr/published/workflow?id=f49e102f63d3e2bb, https://usegalaxy.org.au/published/workflow?id=f9e5caaf08a450ec, https://usegalaxy.org.au/published/workflow?id=fa0243ff9b5ca997, https://usegalaxy.org/published/workflow?id=3edd2957ecd26d6c, https://usegalaxy.org/published/workflow?id=650f3eb7647b4508, https://usegalaxy.org/published/workflow?id=aeeaf3e06a13bc22, https://usegalaxy.org/published/workflow?id=b38215b4ba7a9793, https://workflowhub.eu/workflows/1582?version=1, https://workflowhub.eu/workflows/1584?version=1, https://workflowhub.eu/workflows/677?version=2, https://workflowhub.eu/workflows/680?version=2	metabolomics/gc_ms_with_xcms, metabolomics/gcms, metabolomics/lcms, metabolomics/lcms-preprocessing	9	11	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	9	305	327	28321	44355	115	115	10237	10237	62	68	4838	6536	1306	1374	2965294	3054761	3115889	3008690	1884	1788	True	False
xtb_molecular_optimization	xtb_molecular_optimization		Performs semiempirical molecular optimization.	2023-08-24	https://github.com/grimme-lab/xtb	6.7.1	xtb		To update	Metabolomics					recetox	https://github.com/RECETOX/galaxytools/tree/master/tools/xtb	https://github.com/RECETOX/galaxytools/tree/master/tools/xtb					https://usegalaxy.eu/published/workflow?id=4e9a2e12467bc02e, https://usegalaxy.eu/published/workflow?id=5465916d9b51f411, https://workflowhub.eu/workflows/1597?version=1, https://workflowhub.eu/workflows/897?version=3	metabolomics/qcxms-predictions	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	10	2773	2773	0	0	0	0	2	2	177	177	0	0	0	0	2950	2950	12	12	True	False
