Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://usegalaxy.org/published/workflow?id=13a3954b8894e1b1	Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.org		Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno	2024-11-28	2025-04-25	True	False
https://usegalaxy.org/published/workflow?id=f35ccb693cd874c1	Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.org		Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	2025-01-30	2025-04-25	True	False
https://usegalaxy.org/published/workflow?id=cdb6c9c7037a95b2	Preprocessing of 10X scRNA-seq data	https://usegalaxy.org		Wendi Bacon, Pavankumar Videm, Mehmet Tekman, Hans-Rudolf Hotz, Daniel Blankenberg	2024-10-02	2024-10-04	True	False
https://usegalaxy.org/published/workflow?id=a2a924b871b1c96d	Copy of Generating a single cell matrix using Alevin 1.9 shared by user ksuderman	https://usegalaxy.org		Wendi Bacon, Julia Jakiela	2023-07-19	2023-08-24	True	False
https://usegalaxy.org/published/workflow?id=1fe6b25825d9b736	Generating a single cell matrix using Alevin 1.9	https://usegalaxy.org		Wendi Bacon, Julia Jakiela	2023-07-18	2023-07-18	True	False
https://usegalaxy.org.au/published/workflow?id=5fe66b29dcfb22ab	Differential gene expression for single-cell data using pseudo-bulk counts with edgeR (release v0.1.1)	https://usegalaxy.org.au		Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno	2025-05-01	2025-05-06	True	False
https://usegalaxy.org.au/published/workflow?id=102eb726f63f3190	Preprocessing and Clustering of single-cell RNA-seq data with Scanpy (release v0.1)	https://usegalaxy.org.au		Pavankumar Videm, Hans-Rudolf Hotz, Mehmet Tekman, Bérénice Batut	2025-01-30	2025-04-25	True	False
https://usegalaxy.org.au/published/workflow?id=c6bc6ee668ab51ab	scRNAseq with AnnData	https://usegalaxy.org.au			2021-09-21	2022-03-23	True	False
https://usegalaxy.org.au/published/workflow?id=57321b64220d5835	scRNAseq with AnnData - Step 2: Filtering of low-quality cells and genes, normalisation, filtering of highly variable genes, scaling.	https://usegalaxy.org.au			2021-09-14	2021-10-06	True	False
https://usegalaxy.org.au/published/workflow?id=8055596d732590d6	scRNAseq with AnnData - Step 1: Mitochondria annotation, QC metrics plotting.	https://usegalaxy.org.au			2021-09-14	2021-10-06	True	False
https://usegalaxy.org.au/published/workflow?id=8bc01c1fdd62ad12	scRNAseq with AnnData - Step 4: PCA, cell clustering with UMAP, detect marker genes	https://usegalaxy.org.au			2021-09-14	2021-10-05	True	False
https://usegalaxy.org.au/published/workflow?id=106080375ad4eaaa	 scRNAseq with AnnData - Step 3: PCA inspection via Elbow plot	https://usegalaxy.org.au			2021-09-14	2021-09-21	True	False
https://usegalaxy.org.au/published/workflow?id=94241afd07e8a8b7	scRNAseq preparation with multiple 10X counts datasets - Step 3: Concatenate datasets	https://usegalaxy.org.au			2021-09-08	2021-09-21	True	False
https://usegalaxy.org.au/published/workflow?id=471615c412b305f2	scRNAseq preparation with multiple 10X counts datasets - Step 2: Empty droplets filtering, import as AnnData.	https://usegalaxy.org.au			2021-09-08	2021-09-21	True	False
https://usegalaxy.org.au/published/workflow?id=10296e860e9ef4bb	scRNAseq preparation with multiple 10X counts datasets - Step 1: Empty droplets QC Plot	https://usegalaxy.org.au			2021-09-08	2021-09-21	True	False
https://usegalaxy.org.au/published/workflow?id=f627023a3401bf9b	Pre-processing of 10X Single-Cell RNA Datasets	https://usegalaxy.org.au			2021-03-19	2021-03-19	True	False
